date,region,ai_tool,visits,traffic_share_percent,avg_visit_duration,pages_per_visit,bounce_rate
2023-08-01,Portugal,ChatGPT,2995028,6.5,113.6,2.94,40.86
2023-09-01,Portugal,ChatGPT,2356816,6.18,121.6,2.91,42.3
2023-10-01,Portugal,ChatGPT,2812164,6.41,112.7,3.2,40.71
2023-11-01,Portugal,ChatGPT,2706411,6.35,116.4,2.88,33.28
2023-12-01,Portugal,ChatGPT,2910842,6.46,125.3,2.28,33.8
2024-01-01,Portugal,ChatGPT,2996325,6.5,126.5,3.26,47.04
2024-02-01,Portugal,ChatGPT,3331933,6.67,112.8,3.03,41.93
2024-03-01,Portugal,ChatGPT,3712933,6.86,106.6,1.9,53.29
2024-04-01,Portugal,ChatGPT,3727250,6.86,118.9,3.01,38.69
2024-05-01,Portugal,ChatGPT,3657834,6.83,112.5,2.78,47.41
2024-06-01,Portugal,ChatGPT,3629301,6.81,141.6,3.48,40.16
2024-07-01,Portugal,ChatGPT,3443970,6.72,121.2,3.04,42.76
2024-08-01,Portugal,ChatGPT,3417870,6.71,114.9,3.31,43.77
2024-09-01,Portugal,ChatGPT,3012335,6.51,108.5,2.55,39.84
2024-10-01,Portugal,ChatGPT,2983403,6.49,113.6,3.74,38.71
2024-11-01,Portugal,ChatGPT,3128140,6.56,112.2,3.17,36.52
2024-12-01,Portugal,ChatGPT,3443028,6.72,112.2,2.83,40.37
2025-01-01,Portugal,ChatGPT,3587614,6.79,96.3,2.85,26.68
2025-02-01,Portugal,ChatGPT,4034037,7.02,115.9,2.38,44.84
2025-03-01,Portugal,ChatGPT,4310158,7.16,106.2,2.16,37.09
2025-04-01,Portugal,ChatGPT,4456494,7.23,101.3,3.43,34.46
2025-05-01,Portugal,ChatGPT,4313063,7.16,95.6,3.24,37.81
2025-06-01,Portugal,ChatGPT,4032693,7.02,124.1,3.0,48.74
2025-07-01,Portugal,ChatGPT,4116122,7.06,106.1,2.97,38.88
2025-08-01,Portugal,ChatGPT,3768755,6.88,109.5,2.97,48.45
2025-09-01,Portugal,ChatGPT,3585113,6.79,139.4,2.4,45.48
2025-10-01,Portugal,ChatGPT,3636823,6.82,126.7,2.93,37.79
2025-11-01,Portugal,ChatGPT,3603759,6.8,112.2,2.91,42.95
2025-12-01,Portugal,ChatGPT,3723594,6.86,117.6,3.24,49.52
2026-01-01,Portugal,ChatGPT,4261633,7.13,115.1,2.64,40.72
2026-02-01,Portugal,ChatGPT,4703125,7.35,114.5,3.55,31.64
2026-03-01,Portugal,ChatGPT,4786702,7.39,120.6,2.4,40.68
2026-04-01,Portugal,ChatGPT,4677858,7.34,127.7,3.11,36.61
2026-05-01,Portugal,ChatGPT,4590640,7.3,128.9,2.4,36.1
2026-06-01,Portugal,ChatGPT,4291779,7.15,124.1,3.27,38.27
2019-01-01,Portugal,Gemini,0,5.0,106.8,3.34,35.93
2019-02-01,Portugal,Gemini,48437,5.02,125.5,2.97,40.02
2019-03-01,Portugal,Gemini,91732,5.05,127.9,3.38,40.57
2019-04-01,Portugal,Gemini,0,5.0,110.2,2.5,40.89
2019-05-01,Portugal,Gemini,293086,5.15,124.5,2.96,37.83
2019-06-01,Portugal,Gemini,161905,5.08,111.8,2.53,42.19
2019-07-01,Portugal,Gemini,346511,5.17,110.7,2.04,42.49
2019-08-01,Portugal,Gemini,117960,5.06,98.4,3.21,38.14
2019-09-01,Portugal,Gemini,658630,5.33,112.4,2.79,39.53
2019-10-01,Portugal,Gemini,461717,5.23,127.3,2.21,32.23
2019-11-01,Portugal,Gemini,585022,5.29,127.7,3.01,48.19
2019-12-01,Portugal,Gemini,668874,5.33,132.3,2.87,43.14
2020-01-01,Portugal,Gemini,590707,5.3,120.8,3.18,41.7
2020-02-01,Portugal,Gemini,1078658,5.54,121.9,3.61,38.73
2020-03-01,Portugal,Gemini,695165,5.35,107.5,2.38,44.83
2020-04-01,Portugal,Gemini,807549,5.4,119.9,3.65,46.8
2020-05-01,Portugal,Gemini,779762,5.39,119.4,3.3,41.98
2020-06-01,Portugal,Gemini,1065540,5.53,116.3,3.35,40.57
2020-07-01,Portugal,Gemini,864233,5.43,132.3,2.67,38.18
2020-08-01,Portugal,Gemini,915121,5.46,98.0,2.63,33.03
2020-09-01,Portugal,Gemini,1165024,5.58,118.2,2.98,35.89
2020-10-01,Portugal,Gemini,774058,5.39,113.7,2.52,37.79
2020-11-01,Portugal,Gemini,1078021,5.54,124.8,2.69,45.25
2020-12-01,Portugal,Gemini,948061,5.47,110.7,3.39,34.55
2021-01-01,Portugal,Gemini,1466774,5.73,113.4,3.01,45.17
2021-02-01,Portugal,Gemini,1398671,5.7,131.9,2.98,40.78
2021-03-01,Portugal,Gemini,1544969,5.77,114.3,2.56,45.67
2021-04-01,Portugal,Gemini,1525944,5.76,123.7,2.25,45.13
2021-05-01,Portugal,Gemini,1622182,5.81,119.1,3.32,47.38
2021-06-01,Portugal,Gemini,1844385,5.92,114.0,2.33,44.03
2021-07-01,Portugal,Gemini,1477812,5.74,107.2,3.15,32.08
2021-08-01,Portugal,Gemini,1346429,5.67,108.0,3.19,36.44
2021-09-01,Portugal,Gemini,1237373,5.62,112.8,3.01,35.54
2021-10-01,Portugal,Gemini,1593235,5.8,113.2,2.82,34.53
2021-11-01,Portugal,Gemini,1640069,5.82,135.2,3.19,43.21
2021-12-01,Portugal,Gemini,1602428,5.8,120.9,1.84,37.18
2022-01-01,Portugal,Gemini,1644242,5.82,131.2,2.46,44.0
2022-02-01,Portugal,Gemini,1892165,5.95,116.0,3.13,45.53
2022-03-01,Portugal,Gemini,2035923,6.02,134.5,2.72,44.55
2022-04-01,Portugal,Gemini,2013398,6.01,124.7,3.29,42.81
2022-05-01,Portugal,Gemini,2273611,6.14,124.7,2.7,47.43
2022-06-01,Portugal,Gemini,1983026,5.99,120.1,3.11,41.39
2022-07-01,Portugal,Gemini,2141554,6.07,103.6,2.63,40.66
2022-08-01,Portugal,Gemini,2304484,6.15,119.6,3.48,39.08
2022-09-01,Portugal,Gemini,1816194,5.91,99.8,2.78,42.37
2022-10-01,Portugal,Gemini,1858859,5.93,108.6,2.6,39.28
2022-11-01,Portugal,Gemini,1941436,5.97,132.8,2.71,38.99
2022-12-01,Portugal,Gemini,1862694,5.93,132.9,2.18,39.19
2023-01-01,Portugal,Gemini,2015055,6.01,113.1,3.03,36.18
2023-02-01,Portugal,Gemini,2380355,6.19,115.8,2.68,46.84
2023-03-01,Portugal,Gemini,2304452,6.15,116.8,3.03,42.0
2023-04-01,Portugal,Gemini,3017430,6.51,118.5,3.68,36.59
2023-05-01,Portugal,Gemini,2797704,6.4,117.1,3.35,45.28
2023-06-01,Portugal,Gemini,2768895,6.38,110.0,3.1,44.85
2023-07-01,Portugal,Gemini,2353076,6.18,118.7,3.35,34.4
2023-08-01,Portugal,Gemini,2721669,6.36,121.0,2.88,23.45
2023-09-01,Portugal,Gemini,2441066,6.22,115.9,2.64,43.37
2023-10-01,Portugal,Gemini,2228146,6.11,120.0,2.94,29.51
2023-11-01,Portugal,Gemini,2726475,6.36,122.3,3.29,38.94
2023-12-01,Portugal,Gemini,2318773,6.16,99.7,2.69,41.06
2024-01-01,Portugal,Gemini,2834995,6.42,132.4,3.57,30.11
2024-02-01,Portugal,Gemini,2841131,6.42,118.5,2.63,36.27
2024-03-01,Portugal,Gemini,3214410,6.61,123.9,2.87,37.81
2024-04-01,Portugal,Gemini,3411253,6.71,119.6,3.67,35.81
2024-05-01,Portugal,Gemini,3472438,6.74,147.3,3.32,48.11
2024-06-01,Portugal,Gemini,3255579,6.63,102.0,2.49,45.89
2024-07-01,Portugal,Gemini,3245410,6.62,121.4,2.55,37.36
2024-08-01,Portugal,Gemini,3158036,6.58,108.7,3.02,34.19
2024-09-01,Portugal,Gemini,2900772,6.45,101.8,3.03,37.04
2024-10-01,Portugal,Gemini,2709826,6.35,129.1,3.14,40.3
2024-11-01,Portugal,Gemini,2696101,6.35,123.2,3.25,36.42
2024-12-01,Portugal,Gemini,3170339,6.59,135.5,3.64,41.36
2025-01-01,Portugal,Gemini,3311942,6.66,112.1,3.64,41.94
2025-02-01,Portugal,Gemini,3329452,6.66,106.1,2.79,35.41
2025-03-01,Portugal,Gemini,3632256,6.82,120.1,2.65,46.01
2025-04-01,Portugal,Gemini,4072770,7.04,111.6,2.82,35.9
2025-05-01,Portugal,Gemini,3716817,6.86,124.4,3.11,44.27
2025-06-01,Portugal,Gemini,3834191,6.92,113.3,2.49,37.04
2025-07-01,Portugal,Gemini,3492733,6.75,117.9,3.48,40.7
2025-08-01,Portugal,Gemini,3796683,6.9,109.2,2.61,40.42
2025-09-01,Portugal,Gemini,3091726,6.55,111.1,3.05,43.94
2025-10-01,Portugal,Gemini,3340164,6.67,108.0,3.43,41.84
2025-11-01,Portugal,Gemini,3673793,6.84,122.9,3.25,38.12
2025-12-01,Portugal,Gemini,3599976,6.8,134.5,2.96,42.63
2026-01-01,Portugal,Gemini,4012401,7.01,126.4,3.67,44.46
2026-02-01,Portugal,Gemini,4337953,7.17,132.3,3.11,41.61
2026-03-01,Portugal,Gemini,4422679,7.21,106.9,3.02,27.54
2026-04-01,Portugal,Gemini,4736940,7.37,116.2,2.18,39.36
2026-05-01,Portugal,Gemini,4673008,7.34,122.4,2.85,31.91
2026-06-01,Portugal,Gemini,4726774,7.36,118.6,3.7,40.9
2019-01-01,Portugal,Copilot,281018,5.14,112.7,2.91,37.26
2019-02-01,Portugal,Copilot,348627,5.17,100.6,3.52,47.04
2019-03-01,Portugal,Copilot,355551,5.18,122.1,3.08,39.3
2019-04-01,Portugal,Copilot,626829,5.31,113.8,3.27,43.81
2019-05-01,Portugal,Copilot,251645,5.13,108.6,2.94,46.17
2019-06-01,Portugal,Copilot,385264,5.19,120.4,3.17,44.09
2019-07-01,Portugal,Copilot,40318,5.02,131.1,3.36,38.25
2019-08-01,Portugal,Copilot,42524,5.02,104.4,2.95,35.49
2019-09-01,Portugal,Copilot,221975,5.11,143.4,2.52,45.18
2019-10-01,Portugal,Copilot,448303,5.22,108.6,3.43,43.77
2019-11-01,Portugal,Copilot,533964,5.27,109.9,2.13,50.5
2019-12-01,Portugal,Copilot,508971,5.25,110.7,3.27,31.04
2020-01-01,Portugal,Copilot,620559,5.31,115.7,2.94,36.63
2020-02-01,Portugal,Copilot,687992,5.34,132.2,3.5,40.4
2020-03-01,Portugal,Copilot,463917,5.23,131.0,2.6,28.09
2020-04-01,Portugal,Copilot,761318,5.38,122.1,3.62,38.37
2020-05-01,Portugal,Copilot,630575,5.32,121.9,3.07,34.81
2020-06-01,Portugal,Copilot,503291,5.25,124.9,2.81,34.69
2020-07-01,Portugal,Copilot,309414,5.15,115.8,3.53,52.87
2020-08-01,Portugal,Copilot,861626,5.43,125.0,3.4,35.65
2020-09-01,Portugal,Copilot,529487,5.26,122.3,3.17,41.63
2020-10-01,Portugal,Copilot,573104,5.29,118.2,2.59,35.62
2020-11-01,Portugal,Copilot,624762,5.31,114.8,3.05,44.48
2020-12-01,Portugal,Copilot,756618,5.38,134.3,3.16,47.42
2021-01-01,Portugal,Copilot,902911,5.45,115.8,2.62,40.04
2021-02-01,Portugal,Copilot,918729,5.46,100.7,2.45,39.08
2021-03-01,Portugal,Copilot,1047761,5.52,113.8,3.01,39.97
2021-04-01,Portugal,Copilot,1021332,5.51,120.3,2.76,36.66
2021-05-01,Portugal,Copilot,1125455,5.56,118.1,3.02,30.3
2021-06-01,Portugal,Copilot,1211905,5.61,106.8,2.53,44.8
2021-07-01,Portugal,Copilot,930410,5.47,130.9,3.16,37.75
2021-08-01,Portugal,Copilot,714930,5.36,124.4,2.84,42.11
2021-09-01,Portugal,Copilot,891858,5.45,133.7,2.61,44.73
2021-10-01,Portugal,Copilot,967998,5.48,125.7,3.88,41.8
2021-11-01,Portugal,Copilot,938549,5.47,115.0,2.66,46.05
2021-12-01,Portugal,Copilot,833062,5.42,131.5,3.19,42.4
2022-01-01,Portugal,Copilot,1018688,5.51,109.5,2.81,32.72
2022-02-01,Portugal,Copilot,1101041,5.55,105.8,3.29,43.86
2022-03-01,Portugal,Copilot,1130750,5.57,119.4,3.36,44.18
2022-04-01,Portugal,Copilot,830734,5.42,115.0,2.92,42.11
2022-05-01,Portugal,Copilot,1531056,5.77,119.8,2.79,40.58
2022-06-01,Portugal,Copilot,1215669,5.61,128.1,2.78,43.52
2022-07-01,Portugal,Copilot,1364944,5.68,134.5,3.33,51.87
2022-08-01,Portugal,Copilot,1152313,5.58,124.6,3.38,33.76
2022-09-01,Portugal,Copilot,803099,5.4,113.6,2.46,36.49
2022-10-01,Portugal,Copilot,1024773,5.51,117.5,2.2,35.57
2022-11-01,Portugal,Copilot,1418795,5.71,134.7,2.41,35.74
2022-12-01,Portugal,Copilot,1218651,5.61,116.1,2.82,45.82
2023-01-01,Portugal,Copilot,1572138,5.79,126.3,3.35,43.35
2023-02-01,Portugal,Copilot,1235064,5.62,120.6,3.37,40.22
2023-03-01,Portugal,Copilot,1608687,5.8,115.1,2.88,39.42
2023-04-01,Portugal,Copilot,1352003,5.68,131.6,2.4,37.61
2023-05-01,Portugal,Copilot,1516781,5.76,102.7,2.98,45.11
2023-06-01,Portugal,Copilot,1368086,5.68,113.6,3.27,47.26
2023-07-01,Portugal,Copilot,1322006,5.66,105.0,3.17,33.07
2023-08-01,Portugal,Copilot,1316053,5.66,133.9,3.38,41.26
2023-09-01,Portugal,Copilot,1206979,5.6,111.3,3.02,45.1
2023-10-01,Portugal,Copilot,1182856,5.59,133.7,3.35,40.37
2023-11-01,Portugal,Copilot,1594643,5.8,106.5,2.67,33.95
2023-12-01,Portugal,Copilot,1488507,5.74,122.3,3.05,45.12
2024-01-01,Portugal,Copilot,1671588,5.84,111.2,2.99,34.72
2024-02-01,Portugal,Copilot,1780537,5.89,123.8,3.17,39.64
2024-03-01,Portugal,Copilot,1907317,5.95,120.2,3.81,37.36
2024-04-01,Portugal,Copilot,1633797,5.82,136.3,2.97,37.73
2024-05-01,Portugal,Copilot,1591019,5.8,120.2,3.11,35.76
2024-06-01,Portugal,Copilot,1655560,5.83,129.5,2.89,38.26
2024-07-01,Portugal,Copilot,1619232,5.81,106.3,3.34,40.14
2024-08-01,Portugal,Copilot,1723047,5.86,116.9,2.24,47.67
2024-09-01,Portugal,Copilot,1510540,5.76,104.7,2.9,43.76
2024-10-01,Portugal,Copilot,1530533,5.77,133.7,2.75,36.08
2024-11-01,Portugal,Copilot,1685420,5.84,123.8,3.38,41.09
2024-12-01,Portugal,Copilot,1541104,5.77,117.9,2.79,38.98
2025-01-01,Portugal,Copilot,2059301,6.03,136.5,3.34,47.59
2025-02-01,Portugal,Copilot,1965291,5.98,118.8,2.66,28.52
2025-03-01,Portugal,Copilot,2337427,6.17,125.9,3.22,49.34
2025-04-01,Portugal,Copilot,2484253,6.24,120.1,3.61,38.33
2025-05-01,Portugal,Copilot,2280559,6.14,108.4,3.4,34.68
2025-06-01,Portugal,Copilot,2051036,6.03,103.3,3.15,34.28
2025-07-01,Portugal,Copilot,2136468,6.07,123.6,2.29,42.38
2025-08-01,Portugal,Copilot,2000934,6.0,107.4,3.21,45.62
2025-09-01,Portugal,Copilot,1761692,5.88,117.0,2.97,35.63
2025-10-01,Portugal,Copilot,2031048,6.02,114.1,2.48,38.73
2025-11-01,Portugal,Copilot,1907939,5.95,121.6,3.37,42.46
2025-12-01,Portugal,Copilot,2065144,6.03,128.4,3.15,39.42
2026-01-01,Portugal,Copilot,1981248,5.99,108.7,2.84,40.94
2026-02-01,Portugal,Copilot,2409990,6.2,92.8,3.59,45.8
2026-03-01,Portugal,Copilot,2332272,6.17,113.0,3.21,41.62
2026-04-01,Portugal,Copilot,2427512,6.21,113.0,3.61,52.23
2026-05-01,Portugal,Copilot,2559488,6.28,117.1,3.13,31.47
2026-06-01,Portugal,Copilot,2221965,6.11,102.1,2.4,42.51
2019-01-01,Portugal,Perplexity,58859,5.03,115.5,2.56,39.16
2019-02-01,Portugal,Perplexity,278886,5.14,112.8,2.98,38.76
2019-03-01,Portugal,Perplexity,59416,5.03,116.8,2.57,45.39
2019-04-01,Portugal,Perplexity,24293,5.01,116.3,2.84,41.37
2019-05-01,Portugal,Perplexity,60653,5.03,131.3,2.93,40.88
2019-06-01,Portugal,Perplexity,178455,5.09,130.2,3.62,31.45
2019-07-01,Portugal,Perplexity,421747,5.21,117.9,3.46,41.75
2019-08-01,Portugal,Perplexity,183434,5.09,106.9,3.64,48.76
2019-09-01,Portugal,Perplexity,97162,5.05,114.0,2.66,48.19
2019-10-01,Portugal,Perplexity,20191,5.01,114.9,3.21,43.72
2019-11-01,Portugal,Perplexity,247622,5.12,123.8,3.09,44.6
2019-12-01,Portugal,Perplexity,120418,5.06,126.9,2.87,34.5
2020-01-01,Portugal,Perplexity,315774,5.16,126.4,3.38,42.19
2020-02-01,Portugal,Perplexity,576508,5.29,142.4,3.43,38.26
2020-03-01,Portugal,Perplexity,687331,5.34,115.9,2.95,35.14
2020-04-01,Portugal,Perplexity,811294,5.41,112.4,3.17,43.01
2020-05-01,Portugal,Perplexity,511958,5.26,124.7,3.75,29.91
2020-06-01,Portugal,Perplexity,421142,5.21,127.0,2.97,27.4
2020-07-01,Portugal,Perplexity,680909,5.34,118.1,2.82,33.13
2020-08-01,Portugal,Perplexity,541148,5.27,120.7,2.87,37.0
2020-09-01,Portugal,Perplexity,602322,5.3,115.6,2.8,47.06
2020-10-01,Portugal,Perplexity,464843,5.23,106.4,3.43,33.09
2020-11-01,Portugal,Perplexity,677054,5.34,133.3,2.54,36.42
2020-12-01,Portugal,Perplexity,705002,5.35,125.9,2.92,42.14
2021-01-01,Portugal,Perplexity,351867,5.18,125.4,3.09,37.18
2021-02-01,Portugal,Perplexity,806112,5.4,131.1,2.7,44.74
2021-03-01,Portugal,Perplexity,928448,5.46,116.2,2.95,40.85
2021-04-01,Portugal,Perplexity,911839,5.46,131.8,3.33,47.59
2021-05-01,Portugal,Perplexity,635320,5.32,124.1,3.23,39.04
2021-06-01,Portugal,Perplexity,658168,5.33,129.0,2.79,42.72
2021-07-01,Portugal,Perplexity,767583,5.38,114.2,3.3,35.41
2021-08-01,Portugal,Perplexity,721823,5.36,125.9,2.91,48.72
2021-09-01,Portugal,Perplexity,894530,5.45,115.4,3.08,34.46
2021-10-01,Portugal,Perplexity,647455,5.32,115.6,2.62,37.74
2021-11-01,Portugal,Perplexity,934893,5.47,119.0,2.83,43.24
2021-12-01,Portugal,Perplexity,1099192,5.55,130.2,3.54,32.06
2022-01-01,Portugal,Perplexity,988242,5.49,130.5,2.93,38.26
2022-02-01,Portugal,Perplexity,796230,5.4,130.2,2.73,35.47
2022-03-01,Portugal,Perplexity,1146454,5.57,110.8,2.58,34.51
2022-04-01,Portugal,Perplexity,1132217,5.57,112.7,3.83,44.02
2022-05-01,Portugal,Perplexity,1112413,5.56,123.1,2.58,36.02
2022-06-01,Portugal,Perplexity,1080732,5.54,108.3,3.36,48.7
2022-07-01,Portugal,Perplexity,1145077,5.57,108.5,3.07,38.36
2022-08-01,Portugal,Perplexity,1057280,5.53,127.3,2.82,39.32
2022-09-01,Portugal,Perplexity,999963,5.5,137.0,2.96,43.76
2022-10-01,Portugal,Perplexity,997203,5.5,119.7,3.05,32.49
2022-11-01,Portugal,Perplexity,1091119,5.55,131.9,2.92,38.74
2022-12-01,Portugal,Perplexity,1308591,5.65,116.7,2.58,41.18
2023-01-01,Portugal,Perplexity,1145935,5.57,126.8,1.89,41.01
2023-02-01,Portugal,Perplexity,1264612,5.63,120.4,3.49,31.34
2023-03-01,Portugal,Perplexity,1437060,5.72,137.3,3.73,31.73
2023-04-01,Portugal,Perplexity,1191325,5.6,112.7,3.46,39.58
2023-05-01,Portugal,Perplexity,1113549,5.56,135.5,3.56,35.6
2023-06-01,Portugal,Perplexity,1609540,5.8,113.4,3.3,37.62
2023-07-01,Portugal,Perplexity,1396880,5.7,116.0,3.54,42.07
2023-08-01,Portugal,Perplexity,836081,5.42,117.2,2.75,49.85
2023-09-01,Portugal,Perplexity,1165926,5.58,117.1,2.79,34.4
2023-10-01,Portugal,Perplexity,1417400,5.71,108.8,3.07,43.58
2023-11-01,Portugal,Perplexity,1064543,5.53,121.4,3.46,35.12
2023-12-01,Portugal,Perplexity,1268498,5.63,121.9,2.08,39.41
2024-01-01,Portugal,Perplexity,1071035,5.54,114.8,3.46,31.04
2024-02-01,Portugal,Perplexity,1280436,5.64,121.9,2.83,31.65
2024-03-01,Portugal,Perplexity,1781407,5.89,126.7,3.18,41.58
2024-04-01,Portugal,Perplexity,1699173,5.85,119.8,3.15,37.99
2024-05-01,Portugal,Perplexity,1704330,5.85,111.9,2.96,41.27
2024-06-01,Portugal,Perplexity,1583031,5.79,130.8,2.86,49.66
2024-07-01,Portugal,Perplexity,1766598,5.88,99.5,3.23,36.16
2024-08-01,Portugal,Perplexity,1598959,5.8,117.5,3.59,47.52
2024-09-01,Portugal,Perplexity,1404214,5.7,126.8,3.5,37.28
2024-10-01,Portugal,Perplexity,1747169,5.87,117.2,3.56,35.99
2024-11-01,Portugal,Perplexity,1421393,5.71,119.7,3.34,44.87
2024-12-01,Portugal,Perplexity,1640901,5.82,111.0,2.66,28.04
2025-01-01,Portugal,Perplexity,1549531,5.77,123.8,3.6,38.97
2025-02-01,Portugal,Perplexity,2042806,6.02,130.9,2.42,30.67
2025-03-01,Portugal,Perplexity,2046130,6.02,122.0,3.01,34.25
2025-04-01,Portugal,Perplexity,2155587,6.08,128.5,3.29,34.13
2025-05-01,Portugal,Perplexity,2005096,6.0,145.4,3.34,38.21
2025-06-01,Portugal,Perplexity,1963725,5.98,118.5,2.37,46.11
2025-07-01,Portugal,Perplexity,1803525,5.9,123.3,2.92,39.93
2025-08-01,Portugal,Perplexity,1816176,5.91,125.5,3.59,42.11
2025-09-01,Portugal,Perplexity,1688013,5.84,134.7,3.11,43.88
2025-10-01,Portugal,Perplexity,1667189,5.83,122.1,2.97,46.4
2025-11-01,Portugal,Perplexity,1960502,5.98,122.9,2.72,42.84
2025-12-01,Portugal,Perplexity,1617499,5.81,137.0,2.5,35.72
2026-01-01,Portugal,Perplexity,2279733,6.14,121.8,2.79,46.43
2026-02-01,Portugal,Perplexity,2157243,6.08,122.7,3.49,43.74
2026-03-01,Portugal,Perplexity,2151525,6.08,135.9,3.05,34.7
2026-04-01,Portugal,Perplexity,2274057,6.14,115.3,2.45,48.76
2026-05-01,Portugal,Perplexity,2073840,6.04,112.7,2.9,43.77
2026-06-01,Portugal,Perplexity,2150055,6.08,105.1,2.35,38.98
2019-01-01,Portugal,Claude,115789,5.06,128.7,2.32,40.35
2019-02-01,Portugal,Claude,0,5.0,111.4,3.18,38.93
2019-03-01,Portugal,Claude,0,5.0,123.5,2.58,40.33
2019-04-01,Portugal,Claude,0,5.0,116.5,3.31,45.0
2019-05-01,Portugal,Claude,319488,5.16,126.0,3.42,30.5
2019-06-01,Portugal,Claude,332614,5.17,124.7,2.72,38.79
2019-07-01,Portugal,Claude,336017,5.17,109.9,3.48,37.63
2019-08-01,Portugal,Claude,106577,5.05,128.4,2.15,46.97
2019-09-01,Portugal,Claude,304690,5.15,112.7,2.32,33.15
2019-10-01,Portugal,Claude,0,5.0,126.4,3.2,32.95
2019-11-01,Portugal,Claude,157090,5.08,158.0,2.76,32.88
2019-12-01,Portugal,Claude,430902,5.22,112.0,2.94,36.19
